Gene name,Gene stable ID,Transcript stable ID
n-R5s40,ENSMUSG00000064409,ENSMUST00000082475
n-R5s215,ENSMUSG00000064414,ENSMUST00000082480
n-R5s56,ENSMUSG00000064455,ENSMUST00000082521
n-R5s37,ENSMUSG00000064467,ENSMUST00000082533
n-R5s94,ENSMUSG00000064507,ENSMUST00000082573
n-R5s96,ENSMUSG00000064508,ENSMUST00000082574
n-R5s162,ENSMUSG00000064515,ENSMUST00000082581
n-R5s97,ENSMUSG00000064519,ENSMUST00000082585
n-R5s65,ENSMUSG00000064548,ENSMUST00000082614
n-R5s173,ENSMUSG00000064554,ENSMUST00000082620
n-R5s74,ENSMUSG00000064588,ENSMUST00000082654
n-R5s176,ENSMUSG00000064617,ENSMUST00000082683
n-R5s95,ENSMUSG00000064618,ENSMUST00000082684
n-R5s42,ENSMUSG00000064631,ENSMUST00000082697
n-R5s180,ENSMUSG00000064704,ENSMUST00000082770
n-R5s62,ENSMUSG00000064714,ENSMUST00000082780
n-R5s28,ENSMUSG00000064748,ENSMUST00000082814
n-R5s29,ENSMUSG00000064770,ENSMUST00000082836
n-R5s193,ENSMUSG00000064798,ENSMUST00000082864
n-R5s25,ENSMUSG00000064857,ENSMUST00000082923
n-R5s220,ENSMUSG00000064860,ENSMUST00000082926
n-R5s204,ENSMUSG00000064906,ENSMUST00000082972
n-R5s36,ENSMUSG00000064932,ENSMUST00000082998
n-R5s41,ENSMUSG00000064959,ENSMUST00000083025
n-R5s79,ENSMUSG00000065005,ENSMUST00000083071
n-R5s160,ENSMUSG00000065030,ENSMUST00000083096
n-R5s169,ENSMUSG00000065044,ENSMUST00000083110
n-R5s213,ENSMUSG00000065055,ENSMUST00000083121
n-R5s5,ENSMUSG00000065068,ENSMUST00000083134
n-R5s196,ENSMUSG00000065070,ENSMUST00000083136
n-R5s205,ENSMUSG00000065083,ENSMUST00000083149
n-R5s50,ENSMUSG00000065102,ENSMUST00000083168
n-R5s88,ENSMUSG00000065107,ENSMUST00000083173
n-R5s60,ENSMUSG00000065233,ENSMUST00000083299
n-R5s197,ENSMUSG00000065236,ENSMUST00000083302
n-R5s217,ENSMUSG00000065275,ENSMUST00000083341
n-R5s156,ENSMUSG00000065311,ENSMUST00000083377
n-R5s153,ENSMUSG00000065385,ENSMUST00000083451
n-R5s85,ENSMUSG00000065387,ENSMUST00000083453
n-R5s89,ENSMUSG00000065466,ENSMUST00000083532
n-R5s170,ENSMUSG00000065660,ENSMUST00000083726
n-R5s161,ENSMUSG00000065662,ENSMUST00000083728
n-R5s7,ENSMUSG00000065689,ENSMUST00000083755
n-R5s77,ENSMUSG00000065691,ENSMUST00000083757
n-R5s12,ENSMUSG00000065719,ENSMUST00000083785
n-R5s10,ENSMUSG00000065758,ENSMUST00000083824
n-R5s54,ENSMUSG00000065771,ENSMUST00000083837
n-R5s69,ENSMUSG00000065806,ENSMUST00000083872
n-R5s3,ENSMUSG00000065813,ENSMUST00000083879
n-R5s182,ENSMUSG00000065823,ENSMUST00000083889
